state_clean,total_adults,total_all,adult_ratio
meghalaya,35287,109771,0.3214601306355959
assam,22877,230197,0.0993800961784906
mizoram,495,5926,0.0835302058724266
nagaland,1122,15587,0.07198306280875089
goa,163,2333,0.06986712387483926
gujarat,16336,280549,0.05822868732378301
sikkim,106,2207,0.04802899864068872
karnataka,10110,223235,0.045288597218178156
punjab,3172,76746,0.04133114429416517
the dadra and nagar haveli and daman and diu,27,716,0.03770949720670391
kerala,2675,75002,0.03566571558091784
arunachal pradesh,151,4344,0.03476058931860037
delhi,3050,94529,0.032265230775740776
ladakh,18,617,0.029173419773095625
dadra and nagar haveli and daman and diu,25,1083,0.023084025854108958
west bengal,8510,375340,0.022672776682474555
tripura,255,11285,0.02259636685866194
maharashtra,8209,369139,0.022238235461438646
manipur,263,13456,0.019545184304399523
bihar,11908,609585,0.01953460140915541
madhya pradesh,9599,493970,0.019432354191550094
chhattisgarh,1997,103219,0.019347213206870828
uttar pradesh,17902,1018629,0.017574602725820686
rajasthan,5555,348458,0.015941662983774228
puducherry,44,3017,0.014584023864766324
chandigarh,36,2723,0.013220712449504223
andhra pradesh,1495,127686,0.01170840969252698
haryana,1100,98252,0.011195700850873265
jammu and kashmir,535,49096,0.010897018087013198
himachal pradesh,186,17486,0.010637081093446186
jharkhand,1449,157539,0.00919772246872203
uttarakhand,339,37698,0.008992519497055547
telangana,1151,131574,0.008747928922127472
odisha,739,122987,0.006008765154040671
tamil nadu,1249,220789,0.0056569847229708
lakshadweep,1,203,0.0049261083743842365
andaman and nicobar islands,0,511,0.0
