date,age_0_5,age_5_17,age_18_greater,total_enrolment
2025-03-02,11,61,37,109
2025-03-09,1037,1777,590,3404
2025-03-15,710,1561,831,3102
2025-03-20,2291,2533,1394,6218
2025-03-23,138,259,179,576
2025-03-26,168,26,17,211
2025-03-27,939,1121,644,2704
2025-03-28,43,58,90,191
2025-03-29,30,11,26,67
2025-04-01,141154,91371,24913,257438
2025-05-01,95342,71690,16584,183616
2025-06-01,98943,99911,16880,215734
2025-07-01,318352,263333,35183,616868
2025-09-01,48755,25157,1077,74989
2025-09-02,50550,24998,945,76493
2025-09-03,47843,23301,843,71987
2025-09-04,43057,21463,829,65349
2025-09-05,18400,7238,431,26069
2025-09-06,40158,18244,555,58957
2025-09-07,10305,4197,156,14658
2025-09-08,57659,24816,877,83352
2025-09-09,60515,27138,854,88507
2025-09-10,57752,25725,823,84300
2025-09-11,48577,23835,792,73204
2025-09-12,53360,24703,795,78858
2025-09-13,38517,17338,374,56229
2025-09-14,10619,4230,141,14990
2025-09-15,36191,16502,547,53240
2025-09-16,43328,19786,732,63846
2025-09-17,40067,16760,582,57409
2025-09-18,41918,18171,509,60598
2025-09-19,39574,17195,587,57356
2025-09-20,33355,15764,257,49376
2025-09-21,2515,1838,47,4400
2025-09-22,25725,14231,365,40321
2025-09-23,31428,17099,416,48943
2025-09-24,38887,17279,407,56573
2025-09-25,36548,16414,362,53324
2025-09-26,25701,11721,231,37653
2025-09-27,8640,4838,114,13592
2025-09-28,1399,1014,41,2454
2025-09-29,3700,3088,108,6896
2025-09-30,569,1318,57,1944
2025-10-13,51501,21446,1884,74831
2025-10-15,40092,17199,1604,58895
2025-10-16,23507,11871,1602,36980
2025-10-17,79433,35284,1159,115876
2025-10-18,39000,16268,753,56021
2025-10-19,43821,14801,350,58972
2025-10-20,10307,4891,207,15405
2025-10-21,4818,2464,361,7643
2025-10-22,139,38,56,233
2025-10-23,217,46,883,1146
2025-10-24,24428,10768,1010,36206
2025-10-25,35303,14375,318,49996
2025-10-26,16657,11581,445,28683
2025-10-27,16328,8636,1231,26195
2025-10-28,23058,9788,962,33808
2025-10-29,20154,7741,1036,28931
2025-10-30,85246,30348,1128,116722
2025-10-31,48847,21412,1117,71376
2025-11-01,11357,5875,617,17849
2025-11-02,71840,27912,319,100071
2025-11-03,20913,9337,1282,31532
2025-11-04,736,265,6,1007
2025-11-05,53241,21602,750,75593
2025-11-06,29515,12555,1515,43585
2025-11-07,28989,11915,1426,42330
2025-11-08,35742,15725,924,52391
2025-11-09,36226,11814,179,48219
2025-11-10,46893,18799,1293,66985
2025-11-11,30807,12013,1213,44033
2025-11-12,24593,13565,2338,40496
2025-11-13,20477,9501,3068,33046
2025-11-14,32298,12766,1201,46265
2025-11-15,87043,32126,919,120088
2025-11-16,38506,15022,426,53954
2025-11-17,21613,8004,1072,30689
2025-11-18,50105,18943,1379,70427
2025-11-19,84675,26221,4134,115030
2025-11-25,43587,13698,1121,58406
2025-12-15,95003,38691,5193,138887
2025-12-21,29447,155,0,29602
2025-12-22,108796,535,6,109337
2025-12-23,47105,186,36,47327
2025-12-24,34473,11381,2604,48458
2025-12-25,24013,23197,1421,48631
2025-12-26,38632,12850,916,52398
2025-12-27,37352,14667,1004,53023
2025-12-28,34049,11394,242,45685
2025-12-29,48717,10492,1475,60684
2025-12-31,62596,61107,1729,125432
