state_clean,total_students,total_all,student_ratio
nagaland,9953,15587,0.6385449412972348
manipur,8053,13456,0.5984690844233056
bihar,334802,609585,0.5492293937678913
arunachal pradesh,2236,4344,0.5147329650092081
meghalaya,53305,109771,0.4856018438385366
sikkim,1047,2207,0.4743996375169914
uttar pradesh,479682,1018629,0.4709094282609272
jharkhand,57539,157539,0.36523654460165417
rajasthan,113123,348458,0.32463883739216776
tripura,3654,11285,0.32379264510412054
assam,66085,230197,0.28708019652732225
gujarat,71182,280549,0.2537239484011706
kerala,18590,75002,0.24786005706514494
west bengal,91410,375340,0.2435391911333724
delhi,22296,94529,0.23586412635275947
madhya pradesh,116381,493970,0.2356033767232828
maharashtra,82116,369139,0.22245278878687974
mizoram,1295,5926,0.21852851839352008
ladakh,133,617,0.21555915721231766
the dadra and nagar haveli and daman and diu,141,716,0.19692737430167598
telangana,24505,131574,0.18624500281210574
odisha,22817,122987,0.1855236732337564
chhattisgarh,18769,103219,0.18183667735591316
tamil nadu,37227,220789,0.16860894338033144
jammu and kashmir,8022,49096,0.1633941665308783
punjab,12350,76746,0.16092043885023324
karnataka,33863,223235,0.15169216296727664
uttarakhand,5479,37698,0.145339275293119
goa,254,2333,0.10887269609944278
andhra pradesh,13746,127686,0.1076547154738969
dadra and nagar haveli and daman and diu,109,1083,0.10064635272391505
haryana,9110,98252,0.0927207588649595
chandigarh,211,2723,0.07748806463459419
puducherry,195,3017,0.06463374212794167
andaman and nicobar islands,32,511,0.06262230919765166
lakshadweep,10,203,0.04926108374384237
himachal pradesh,661,17486,0.03780166990735445
